Timestamp,Temperature (C),Humidity (%),Sound,Light
4147,21.20,27.61,0.00,646.00
7147,21.45,27.38,14005.21,635.00
10147,21.44,27.27,17107.06,630.00
13147,21.43,27.16,13283.77,632.00
16147,21.41,27.11,18732.55,634.00
19147,21.40,27.15,19497.02,635.00
22147,21.37,27.11,20204.60,636.00
25147,21.36,27.07,17421.50,639.00
28147,21.34,27.02,16199.71,639.00
31147,21.31,27.04,18624.66,639.00
34147,21.28,27.02,23520.82,640.00
37147,21.27,27.07,26798.85,637.00
40147,21.25,27.06,20983.36,636.00
43147,21.23,27.07,18928.22,632.00
46147,21.20,27.08,16923.20,629.00
49147,21.17,27.06,23254.40,625.00
52147,21.15,27.13,19646.66,620.00
55147,21.12,27.07,19060.56,615.00
58147,21.11,27.06,32546.85,611.00
61147,21.08,27.03,18322.06,605.00
64147,21.07,27.03,14806.41,601.00
67147,21.05,27.03,18240.30,596.00
70147,21.03,27.10,15459.42,591.00
73147,21.02,27.12,17618.74,586.00
76147,20.99,27.15,14018.67,581.00
79147,20.98,27.15,23530.12,577.00
82147,20.96,27.13,15444.11,574.00
85147,20.95,27.16,10254.21,569.00
88147,20.93,27.15,20881.76,564.00
91147,20.91,27.17,16277.79,558.00
94147,20.89,27.18,14997.23,555.00
97147,20.88,27.19,13987.23,548.00
100147,20.86,27.21,11927.09,544.00
103147,20.84,27.21,14730.21,541.00
106147,20.82,27.23,13392.16,538.00
109147,20.81,27.22,11460.26,533.00
112147,20.79,27.25,21806.12,496.00
115147,20.78,27.28,15302.38,516.00
118147,20.75,27.31,16315.43,503.00
121147,20.73,27.37,15046.14,511.00
124147,20.72,27.53,16883.32,491.00
127147,20.70,27.52,11738.26,491.00
130147,20.68,27.44,20278.31,511.00
133147,20.67,27.44,16187.15,514.00
136147,20.65,27.49,24061.50,512.00
139147,20.63,27.55,26188.21,511.00
142147,20.62,27.62,20975.17,509.00
145147,20.60,27.75,28817.50,507.00
148147,20.59,27.96,27809.67,507.00
151147,20.58,27.99,26653.33,507.00
154147,20.56,28.04,31643.93,505.00
