Timestamp,Temperature (C),Humidity (%),Sound,Light
3860,22.45,21.80,0.00,951.00
6860,22.43,20.70,23150.88,951.00
9860,22.44,20.80,25428.46,952.00
12860,22.44,20.92,24704.57,951.00
15860,22.47,21.03,25326.45,948.00
18860,22.47,20.92,21874.03,949.00
21860,22.46,20.62,23304.48,950.00
24860,22.43,20.36,31190.70,951.00
27860,22.42,20.32,30712.23,950.00
30860,22.43,20.14,23522.39,951.00
33860,22.43,20.05,15618.26,951.00
36860,22.44,20.34,18336.04,951.00
39860,22.44,20.44,22379.95,950.00
42860,22.44,20.44,21753.28,951.00
45860,22.44,20.41,20226.17,951.00
48860,22.44,20.26,21344.38,950.00
51860,22.43,19.81,23006.75,950.00
54860,22.43,19.70,19757.90,951.00
57860,22.43,19.46,16549.84,950.00
60860,22.42,19.49,15320.08,950.00
63860,22.42,19.39,14009.30,949.00
66860,22.42,19.38,22248.68,950.00
69860,22.42,19.29,18636.52,952.00
72860,22.42,19.36,28763.62,952.00
75860,22.42,19.55,25280.26,952.00
78860,22.41,19.63,23778.65,952.00
81860,22.41,19.60,21335.59,953.00
84860,22.41,19.57,17382.38,953.00
87860,22.41,19.66,17577.83,953.00
90860,22.40,19.40,19036.04,954.00
93860,22.40,19.28,17805.00,954.00
96860,22.40,19.30,21121.60,952.00
99860,22.39,19.31,16832.16,953.00
102860,22.40,19.17,18886.35,953.00
105860,22.39,19.15,16681.06,953.00
108860,22.39,19.22,18182.92,954.00
111860,22.39,19.30,20942.70,955.00
114860,22.38,19.25,19253.88,955.00
117860,22.38,19.07,19648.52,966.00
120860,22.38,19.20,27003.25,955.00
123860,22.38,19.36,21172.78,951.00
126860,22.37,19.33,21961.06,955.00
129860,22.37,19.26,15256.79,950.00
132860,22.37,19.02,14503.49,955.00
135860,22.36,18.99,15915.28,953.00
138860,22.37,18.93,22746.80,963.00
141860,22.36,19.01,17299.53,953.00
144860,22.36,19.18,18916.51,953.00
147860,22.36,19.29,20023.74,955.00
150860,22.35,19.21,20844.10,959.00
153860,22.35,19.19,21967.13,955.00
156860,22.35,19.00,21867.11,959.00
159860,22.35,19.04,17779.78,948.00
162860,22.35,19.03,21068.46,956.00
165860,22.34,18.86,23869.26,955.00
168860,22.34,18.88,19095.11,955.00
171860,22.33,18.96,16583.51,956.00
174860,22.33,18.97,23342.63,955.00
177860,22.33,18.87,21295.90,955.00
180860,22.32,18.70,16027.04,956.00
183860,22.32,18.73,15210.45,956.00
186860,22.32,18.71,19033.82,956.00
189860,22.31,18.76,22041.28,961.00
192860,22.31,18.76,35103.75,957.00
195860,22.31,18.86,28764.44,957.00
198860,22.31,18.91,34937.24,958.00
201860,22.30,18.88,36013.03,958.00
204860,22.30,18.88,25789.78,958.00
207860,22.30,18.83,29769.31,957.00
210860,22.30,18.88,18482.01,958.00
213860,22.29,18.88,16268.54,956.00
216860,22.29,18.77,22133.65,956.00
219860,22.28,18.82,26638.21,956.00
222860,22.28,18.84,25620.79,956.00
225860,22.29,18.95,26642.28,949.00
228860,22.27,18.84,21420.04,949.00
231860,22.27,18.85,13601.38,958.00
234860,22.27,18.81,18164.38,958.00
237860,22.27,18.77,16536.18,958.00
240860,22.27,18.82,18316.04,958.00
243860,22.27,18.82,23913.57,958.00
246860,22.27,18.94,30501.34,960.00
249860,22.26,19.03,24587.62,958.00
252860,22.26,19.00,21090.27,957.00
255860,22.26,18.93,20343.25,958.00
258860,22.25,18.84,30555.94,958.00
261860,22.27,18.79,26350.32,958.00
264860,22.27,18.78,27382.74,958.00
267860,22.27,18.79,23296.15,958.00
270860,22.26,18.73,20693.29,958.00
273860,22.26,18.66,15222.45,960.00
276860,22.26,18.74,30663.90,958.00
279860,22.26,18.79,33926.79,959.00
282860,22.26,18.73,15493.40,959.00
285860,22.26,18.66,23118.94,958.00
288860,22.26,18.62,25146.05,957.00
291860,22.26,18.65,21926.29,948.00
294860,22.26,18.65,20987.68,957.00
297860,22.25,18.67,16956.29,958.00
300860,22.25,18.65,22432.68,959.00
303860,22.25,18.71,28686.28,958.00
306860,22.26,18.70,21248.00,959.00
309860,22.25,18.61,25098.17,959.00
312860,22.25,18.62,21960.34,960.00
315860,22.25,18.54,19618.04,960.00
318860,22.25,18.58,22393.66,959.00
321860,22.25,18.57,32736.57,958.00
324860,22.24,18.54,23517.02,958.00
327860,22.25,18.50,28720.23,958.00
330860,22.25,18.51,19906.38,958.00
333860,22.25,18.49,20659.11,959.00
336860,22.24,18.46,17328.71,959.00
339860,22.25,18.46,18837.79,959.00
342860,22.24,18.52,13165.29,959.00
345860,22.25,18.55,30696.53,960.00
348860,22.25,18.52,23920.96,960.00
351860,22.24,18.55,24255.72,960.00
354860,22.24,18.54,18165.60,960.00
357860,22.25,18.51,19773.47,959.00
360860,22.24,18.52,23782.82,959.00
363860,22.25,18.50,17061.15,959.00
366860,22.24,18.58,19453.33,962.00
369860,22.25,18.67,20470.67,960.00
372860,22.25,18.85,23699.34,961.00
375860,22.25,18.82,12258.46,960.00
378860,22.25,18.98,49083.75,960.00
381860,22.25,18.98,49892.10,963.00
384860,22.25,18.94,49999.46,959.00
387860,22.24,18.85,49773.29,960.00
390860,22.24,18.82,49991.33,959.00
393860,22.24,18.69,49035.93,958.00
396860,22.23,18.63,49996.96,959.00
399860,22.24,18.62,13896.30,959.00
402860,22.23,18.68,49974.08,961.00
405860,22.24,18.79,19068.15,960.00
408860,22.24,18.84,40429.22,960.00
411860,22.24,18.88,25075.15,961.00
414860,22.24,18.88,49867.91,961.00
417860,22.23,18.90,39107.06,966.00
420860,22.23,18.78,49999.46,963.00
423860,22.23,18.78,49999.46,962.00
426860,22.24,18.84,30850.74,963.00
429860,22.24,18.79,13040.75,971.00
432860,22.23,18.58,49971.82,960.00
435860,22.23,18.63,22887.11,960.00
438860,22.23,18.66,19840.59,962.00
441860,22.23,18.69,18888.05,962.00
444860,22.23,18.77,14736.67,963.00
447860,22.23,18.83,14793.13,962.00
450860,22.23,18.77,11918.71,962.00
453860,22.23,18.68,11747.44,961.00
456860,22.22,18.66,13022.29,964.00
459860,22.23,18.66,17206.37,960.00
462860,22.23,18.65,11785.59,961.00
465860,22.23,18.67,19948.16,951.00
468860,22.23,18.69,28216.51,961.00
471860,22.23,18.63,28925.60,962.00
474860,22.23,18.61,13511.00,951.00
477860,22.23,18.69,22520.33,963.00
480860,22.23,18.68,18659.29,963.00
