Timestamp,Temperature (C),Humidity (%),Sound,Light
4858533,22.01,33.38,0.00,930.00
4861533,22.28,33.17,16187.16,922.00
4864533,22.29,32.94,14062.91,926.00
4867533,22.28,32.76,13059.76,927.00
4870533,22.27,32.71,13442.27,927.00
4873533,22.27,32.67,12682.92,929.00
4876533,22.26,32.63,14920.22,932.00
4879533,22.25,32.59,11393.78,935.00
4882533,22.24,32.56,11827.44,939.00
4885533,22.23,32.56,13532.62,942.00
4888533,22.22,32.54,12721.88,946.00
4891533,22.21,32.51,29899.75,951.00
4894533,22.20,32.51,12632.86,971.00
4897533,22.19,32.52,19351.29,955.00
4900533,22.18,32.52,12862.93,957.00
4903533,22.17,32.51,12957.97,957.00
4906533,22.16,32.48,21525.96,957.00
4909533,22.15,32.48,11696.28,955.00
4912533,22.14,32.48,14227.29,954.00
4915533,22.13,32.47,14417.62,954.00
4918533,22.13,32.47,14145.49,957.00
4921533,22.12,32.48,13070.07,956.00
4924533,22.10,32.48,10432.18,957.00
4927533,22.08,32.45,15271.36,956.00
4930533,22.07,32.48,11061.18,955.00
4933533,22.06,32.50,17523.13,956.00
4936533,22.04,32.50,15902.83,956.00
4939533,22.04,32.52,19629.41,957.00
4942533,22.03,32.55,14948.61,944.00
4945533,22.02,32.55,12634.71,959.00
4948533,22.01,32.56,16510.99,959.00
4951533,22.01,32.56,10788.10,959.00
4954533,22.00,32.57,13774.15,960.00
4957533,21.99,32.57,20093.50,961.00
4960533,21.99,32.57,11989.06,963.00
4963533,21.97,32.58,11851.92,981.00
4966533,21.96,32.57,9899.22,962.00
4969533,21.96,32.57,14267.26,963.00
4972533,21.95,32.57,11296.74,963.00
4975533,21.94,32.55,13198.71,963.00
4978533,21.94,32.59,12361.92,965.00
4981533,21.93,32.60,11913.83,967.00
4984533,21.92,32.61,13809.14,967.00
4987533,21.91,32.61,25804.42,967.00
4990533,21.90,32.61,14502.36,952.00
4993533,21.90,32.61,13785.04,967.00
4996533,21.89,32.62,13917.82,978.00
