Timestamp,Temperature (C),Humidity (%),Sound,Light
3829,22.35,32.15,0.00,196.00
6829,22.35,31.99,47426.13,210.00
9829,22.35,31.88,49045.16,204.00
12829,22.35,31.80,49728.37,205.00
15829,22.34,31.71,49917.82,202.00
18829,22.34,31.67,49975.64,200.00
21829,22.35,31.60,48509.03,202.00
24829,22.34,31.52,49472.91,197.00
27829,22.34,31.46,49846.56,194.00
30829,22.34,31.35,49018.68,196.00
33829,22.32,31.30,48974.05,198.00
36829,22.33,31.24,48795.55,189.00
39829,22.32,31.12,49123.79,188.00
42829,22.31,30.99,49740.09,186.00
45829,22.29,30.87,49550.32,184.00
48829,22.30,30.87,48684.80,181.00
51829,22.29,30.84,49841.26,181.00
54829,22.28,30.84,49433.57,183.00
57829,22.29,30.85,48939.33,178.00
60829,22.28,30.89,49950.69,178.00
63829,22.28,30.84,47702.98,177.00
66829,22.27,30.78,48822.04,176.00
69829,22.27,30.78,49914.77,172.00
72829,22.27,30.74,48102.16,177.00
75829,22.25,30.76,49657.99,171.00
78829,22.26,30.75,49265.15,170.00
81829,22.25,30.69,49790.87,169.00
84829,22.25,30.69,49017.43,168.00
87829,22.24,30.64,48520.08,178.00
90829,22.24,30.55,49562.36,166.00
93829,22.23,30.59,49977.20,166.00
96829,22.22,30.60,49519.72,166.00
99829,22.22,30.60,49722.55,165.00
102829,22.22,30.59,49820.96,164.00
105829,22.21,30.60,49995.17,162.00
108829,22.21,30.55,49940.09,162.00
111829,22.21,30.44,48585.25,162.00
114829,22.20,30.48,49227.98,161.00
117829,22.19,30.47,49122.74,160.00
120829,22.19,30.39,49667.84,158.00
123829,22.18,30.38,49306.19,155.00
126829,22.17,30.42,49935.79,157.00
129829,22.17,30.40,49990.87,156.00
132829,22.16,30.39,49463.92,155.00
135829,22.15,30.36,49485.79,155.00
138829,22.15,30.40,49647.04,153.00
141829,22.14,30.39,47605.82,153.00
144829,22.13,30.34,47668.29,152.00
147829,22.12,30.34,48028.94,150.00
150829,22.12,30.39,42274.64,151.00
153829,22.11,30.37,44518.35,150.00
156829,22.10,30.37,44958.90,150.00
159829,22.09,30.37,47911.18,152.00
162829,22.09,30.36,49065.48,149.00
165829,22.08,30.35,48299.46,148.00
168829,22.07,30.36,48178.65,148.00
171829,22.06,30.37,49077.59,146.00
174829,22.06,30.36,49663.92,146.00
177829,22.05,30.33,49039.63,146.00
180829,22.05,30.36,49612.36,144.00
183829,22.04,30.37,49836.96,144.00
186829,22.03,30.38,46055.26,145.00
189829,22.02,30.37,45396.91,142.00
192829,22.02,30.29,47411.48,142.00
195829,22.01,30.23,47836.81,142.00
198829,21.99,30.22,47961.04,141.00
201829,21.98,30.27,48937.34,145.00
204829,21.97,30.28,48387.35,140.00
207829,21.97,30.29,47489.06,144.00
210829,21.96,30.31,49013.41,140.00
213829,21.96,30.31,46468.91,139.00
216829,21.95,30.33,47593.48,143.00
219829,21.94,30.30,47990.18,139.00
222829,21.93,30.34,49164.95,139.00
225829,21.93,30.35,47542.10,140.00
228829,21.92,30.34,46883.84,139.00
231829,21.92,30.34,48151.96,139.00
234829,21.91,30.33,47642.43,141.00
237829,21.90,30.35,44558.06,136.00
240829,21.90,30.36,44744.88,140.00
243829,21.90,30.37,46891.66,138.00
246829,21.89,30.36,47035.86,138.00
249829,21.88,30.33,48156.88,139.00
252829,21.88,30.31,44166.59,138.00
255829,21.87,30.27,48857.62,139.00
258829,21.87,30.28,49210.79,139.00
261829,21.86,30.29,48756.51,144.00
264829,21.85,30.29,48713.36,140.00
267829,21.85,30.28,49884.62,139.00
270829,21.84,30.32,49601.37,140.00
273829,21.83,30.33,49360.39,145.00
276829,21.82,30.30,49389.00,140.00
279829,21.82,30.27,49325.38,141.00
282829,21.81,30.21,47689.40,141.00
285829,21.80,30.19,48720.99,142.00
288829,21.80,30.24,49083.43,141.00
291829,21.79,30.27,48532.79,142.00
294829,21.78,30.29,49312.50,143.00
297829,21.77,30.30,48917.77,140.00
300829,21.77,30.34,48329.66,147.00
303829,21.76,30.34,47420.55,149.00
306829,21.75,30.30,47362.74,147.00
309829,21.75,30.28,47003.40,147.00
312829,21.74,30.26,45972.90,147.00
315829,21.73,30.27,46314.30,147.00
318829,21.72,30.30,47047.90,147.00
321829,21.72,30.29,11618.83,148.00
324829,21.71,30.31,16121.63,148.00
327829,21.70,30.34,13510.72,149.00
330829,21.70,30.36,14668.39,149.00
333829,21.70,30.36,16801.22,150.00
336829,21.69,30.34,22004.81,148.00
339829,21.68,30.34,18001.41,151.00
342829,21.67,30.36,16718.27,151.00
345829,21.67,30.37,23374.34,152.00
348829,21.66,30.31,16639.80,155.00
351829,21.65,30.29,24269.86,152.00
354829,21.65,30.29,23813.84,151.00
357829,21.64,30.26,27386.36,150.00
360829,21.63,30.29,17449.98,154.00
363829,21.62,30.29,15589.39,154.00
366829,21.62,30.32,16297.35,154.00
369829,21.61,30.33,15586.53,157.00
372829,21.61,30.34,15710.47,152.00
375829,21.60,30.36,17727.26,156.00
378829,21.59,30.37,24135.16,156.00
381829,21.58,30.37,27296.41,157.00
384829,21.58,30.39,21685.44,157.00
387829,21.57,30.39,32330.09,158.00
390829,21.57,30.41,41702.33,156.00
393829,21.56,30.37,49015.48,155.00
396829,21.56,30.40,49845.08,158.00
399829,21.55,30.38,49950.64,158.00
402829,21.55,30.42,49466.84,160.00
405829,21.54,30.43,49741.26,160.00
408829,21.54,30.45,49967.82,161.00
411829,21.53,30.46,48712.35,162.00
414829,21.52,30.46,49796.24,158.00
417829,21.52,30.47,49958.84,160.00
420829,21.52,30.48,49519.64,162.00
423829,21.52,30.48,49786.96,162.00
426829,21.51,30.49,48588.17,161.00
429829,21.50,30.49,48455.25,162.00
432829,21.50,30.50,44198.72,163.00
435829,21.50,30.50,20282.93,164.00
438829,21.49,30.48,25481.99,164.00
441829,21.49,30.49,21692.57,164.00
444829,21.48,30.52,27335.81,166.00
447829,21.47,30.51,25782.75,165.00
450829,21.47,30.53,35433.46,166.00
453829,21.47,30.53,42704.40,168.00
456829,21.46,30.54,45953.16,167.00
459829,21.46,30.55,46785.86,168.00
462829,21.45,30.55,47504.06,169.00
465829,21.45,30.55,48383.64,169.00
468829,21.44,30.51,49055.32,169.00
471829,21.44,30.52,47829.83,169.00
474829,21.43,30.55,48490.87,172.00
477829,21.43,30.57,47415.80,171.00
480829,21.42,30.56,46301.88,171.00
483829,21.42,30.56,49324.86,172.00
486829,21.41,30.57,49409.23,171.00
489829,21.40,30.57,44772.08,178.00
492829,21.40,30.61,36586.95,172.00
495829,21.39,30.63,36211.57,172.00
498829,21.38,30.62,40188.31,172.00
501829,21.38,30.64,43150.50,173.00
504829,21.37,30.66,49506.50,173.00
507829,21.37,30.67,45958.90,174.00
510829,21.36,30.68,43773.82,174.00
513829,21.36,30.70,45814.86,173.00
516829,21.36,30.74,47494.39,174.00
519829,21.35,30.75,47328.02,175.00
