Timestamp,Temperature (C),Humidity (%),Sound,Light
4220,21.00,26.89,0.00,80.00
7220,21.26,26.30,29385.65,78.00
10220,21.26,25.94,18150.46,69.00
13220,21.25,25.94,20278.10,71.00
16220,21.24,25.91,18454.97,71.00
19220,21.23,25.77,20263.69,70.00
22220,21.22,25.66,12090.59,71.00
25220,21.19,25.60,17006.09,70.00
28220,21.18,25.57,12482.25,70.00
31220,21.16,25.56,10211.12,69.00
34220,21.15,25.49,23683.90,71.00
37220,21.14,25.51,13100.75,73.00
40220,21.13,25.51,14220.86,71.00
43220,21.12,25.50,11016.07,69.00
46220,21.10,25.52,16075.27,71.00
49220,21.08,25.53,12943.74,72.00
52220,21.07,25.53,11575.74,70.00
55220,21.06,25.52,19204.38,71.00
58220,21.05,25.50,15893.72,77.00
61220,21.04,25.45,12766.85,71.00
64220,21.03,25.41,22616.10,71.00
67220,21.01,25.37,22230.26,71.00
70220,21.00,25.38,17358.56,73.00
73220,20.98,25.42,11005.33,73.00
76220,20.97,25.35,11877.81,72.00
79220,20.96,25.36,10270.76,72.00
82220,20.94,25.39,17142.05,66.00
85220,20.93,25.39,13323.41,74.00
88220,20.91,25.36,16010.67,67.00
91220,20.90,25.38,19119.94,67.00
94220,20.89,25.41,20835.58,70.00
97220,20.88,25.42,15511.95,73.00
100220,20.86,25.44,13600.65,73.00
103220,20.85,25.46,11484.73,73.00
106220,20.84,25.48,14539.42,72.00
109220,20.83,25.50,15090.98,73.00
112220,20.82,25.51,16360.42,74.00
115220,20.81,25.55,22370.24,74.00
118220,20.80,25.56,15657.36,73.00
121220,20.78,25.59,23053.48,75.00
124220,20.77,25.60,15331.51,75.00
127220,20.77,25.62,11405.33,73.00
130220,20.75,25.64,14826.97,80.00
133220,20.74,25.67,13123.11,76.00
136220,20.73,25.68,18172.15,75.00
139220,20.73,25.69,16016.28,77.00
142220,20.71,25.72,14466.19,76.00
145220,20.70,25.73,12556.51,79.00
148220,20.70,25.74,16235.85,81.00
151220,20.69,25.75,14344.09,80.00
154220,20.68,25.76,26115.29,77.00
157220,20.67,25.75,16030.05,77.00
160220,20.66,25.76,12978.87,78.00
163220,20.65,25.77,11509.54,79.00
166220,20.63,25.77,10806.24,78.00
169220,20.63,25.80,12978.28,79.00
172220,20.62,25.80,13572.42,80.00
175220,20.61,25.80,18416.87,81.00
178220,20.60,25.81,16963.55,81.00
181220,20.60,25.83,12752.92,86.00
184220,20.59,25.83,22575.53,87.00
187220,20.59,25.82,14698.76,81.00
190220,20.58,25.81,17141.82,83.00
193220,20.58,25.81,15171.18,83.00
196220,20.57,25.79,10454.09,82.00
199220,20.57,25.80,11440.13,87.00
202220,20.56,25.80,23505.71,82.00
205220,20.54,25.82,17467.98,82.00
208220,20.54,25.84,17342.05,78.00
211220,20.54,25.85,15061.67,80.00
214220,20.53,25.85,18728.44,83.00
217220,20.52,25.84,16112.12,83.00
220220,20.51,25.86,11997.88,85.00
223220,20.51,25.86,13154.79,85.00
226220,20.50,25.87,28536.99,84.00
229220,20.50,25.89,11665.79,81.00
232220,20.50,25.90,46488.73,73.00
235220,20.49,25.89,36308.77,74.00
238220,20.48,25.92,17582.54,81.00
241220,20.48,26.00,14014.81,78.00
244220,20.48,26.01,27118.64,85.00
247220,20.47,26.02,16265.18,81.00
250220,20.47,26.04,14621.46,85.00
253220,20.46,26.04,17371.73,80.00
256220,20.46,26.04,15219.40,78.00
259220,20.45,26.05,17815.07,86.00
262220,20.45,26.05,13387.41,78.00
265220,20.44,26.07,22591.89,76.00
268220,20.45,26.09,30800.58,88.00
271220,20.44,26.13,20890.66,87.00
274220,20.44,26.18,24739.92,84.00
277220,20.43,26.16,18196.46,86.00
280220,20.43,26.16,32590.26,87.00
283220,20.43,26.19,16203.83,84.00
286220,20.43,26.19,14272.43,89.00
289220,20.43,26.26,19030.71,89.00
292220,20.42,26.33,33552.58,93.00
295220,20.43,26.32,24181.71,91.00
298220,20.42,26.28,16685.89,90.00
301220,20.42,26.30,17860.83,90.00
304220,20.42,26.31,17886.40,90.00
307220,20.42,26.32,15595.85,90.00
310220,20.41,26.34,16962.61,97.00
313220,20.40,26.36,12600.27,95.00
316220,20.40,26.33,11889.43,92.00
319220,20.40,26.34,13850.23,92.00
322220,20.40,26.34,17673.94,90.00
325220,20.39,26.33,27717.24,91.00
328220,20.39,26.34,13457.47,90.00
331220,20.39,26.32,22721.21,97.00
334220,20.38,26.31,16944.05,91.00
337220,20.38,26.29,30795.44,92.00
340220,20.37,26.29,13117.19,94.00
343220,20.37,26.28,20899.49,92.00
346220,20.36,26.27,19892.85,92.00
349220,20.36,26.26,12136.51,96.00
352220,20.36,26.26,20337.46,94.00
355220,20.36,26.24,16409.49,91.00
358220,20.36,26.22,11183.85,92.00
361220,20.35,26.21,16215.37,94.00
364220,20.35,26.21,11284.13,94.00
367220,20.35,26.19,11913.56,93.00
370220,20.35,26.19,14085.95,92.00
373220,20.34,26.18,14553.58,93.00
376220,20.34,26.18,15763.19,97.00
379220,20.34,26.19,10155.92,96.00
382220,20.34,26.25,12610.31,96.00
385220,20.35,26.23,12435.83,100.00
388220,20.35,26.21,11491.75,101.00
391220,20.35,26.21,10764.61,96.00
394220,20.35,26.22,13669.59,93.00
397220,20.35,26.21,14277.76,96.00
400220,20.35,26.19,12960.27,94.00
403220,20.34,26.19,12842.87,96.00
406220,20.34,26.22,11291.81,98.00
409220,20.35,26.23,20438.18,97.00
412220,20.35,26.23,12268.13,103.00
415220,20.35,26.23,12199.29,96.00
418220,20.35,26.21,14204.02,96.00
421220,20.35,26.19,17244.02,95.00
424220,20.34,26.18,11542.05,96.00
427220,20.34,26.17,10518.79,96.00
430220,20.34,26.17,14103.09,98.00
433220,20.33,26.16,9507.25,98.00
436220,20.34,26.17,10676.93,98.00
439220,20.34,26.18,12264.56,97.00
442220,20.33,26.18,12212.25,94.00
445220,20.33,26.17,11152.14,97.00
448220,20.33,26.16,8789.22,97.00
451220,20.33,26.14,11893.91,97.00
454220,20.33,26.16,12400.64,104.00
457220,20.33,26.16,10541.69,98.00
460220,20.32,26.13,10232.92,96.00
463220,20.33,26.12,14915.00,98.00
466220,20.33,26.12,11576.46,97.00
469220,20.33,26.13,10556.32,94.00
472220,20.32,26.12,9735.13,98.00
475220,20.32,26.10,11255.49,98.00
478220,20.32,26.10,8272.06,99.00
481220,20.32,26.11,8646.05,100.00
