Timestamp,Temperature (C),Humidity (%),Sound,Light
3860,22.24,26.81,0.00,963.00
6860,22.27,26.91,15477.02,965.00
9860,22.28,26.75,17229.94,985.00
12860,22.27,26.60,12706.51,964.00
15860,22.27,26.62,26200.80,966.00
18860,22.27,26.70,27571.82,962.00
21860,22.28,26.67,42581.10,963.00
24860,22.27,26.64,22248.70,964.00
27860,22.28,26.66,16230.09,963.00
30860,22.28,26.54,23456.71,963.00
33860,22.27,26.51,19841.24,964.00
36860,22.27,26.38,25396.50,965.00
39860,22.26,26.23,13343.48,964.00
42860,22.25,26.07,25875.90,965.00
45860,22.23,26.02,20683.48,964.00
48860,22.21,26.02,18893.67,965.00
51860,22.21,26.16,19497.25,965.00
54860,22.20,26.21,12869.72,951.00
57860,22.19,26.17,17037.81,965.00
60860,22.18,26.18,13498.02,965.00
63860,22.17,26.19,19477.06,964.00
66860,22.16,26.19,11199.11,963.00
69860,22.15,26.19,12001.62,964.00
72860,22.14,26.17,12504.28,963.00
75860,22.13,26.07,15781.91,963.00
78860,22.12,25.99,19362.71,952.00
81860,22.11,25.98,34257.92,966.00
84860,22.09,26.08,36009.54,965.00
87860,22.09,26.15,20472.05,966.00
90860,22.09,26.22,20236.49,966.00
93860,22.08,26.24,20601.72,966.00
96860,22.07,26.24,20628.93,967.00
99860,22.06,26.22,24480.26,966.00
102860,22.06,26.31,26041.04,966.00
105860,22.06,26.38,21856.59,965.00
108860,22.06,26.43,30951.94,985.00
111860,22.05,26.37,36773.29,967.00
114860,22.05,26.12,19997.89,986.00
117860,22.03,26.13,18616.20,965.00
120860,22.03,26.18,16878.48,966.00
123860,22.02,26.33,21779.26,967.00
126860,22.03,26.37,24515.78,967.00
129860,22.02,26.29,22626.71,967.00
132860,22.01,26.28,17291.78,969.00
135860,22.01,26.28,13575.84,968.00
138860,22.00,26.30,11275.40,967.00
141860,21.99,26.30,15760.29,967.00
144860,21.99,26.34,10005.23,966.00
147860,21.98,26.29,13411.49,965.00
150860,21.97,26.30,10315.44,965.00
153860,21.96,26.37,17870.35,965.00
156860,21.95,26.48,9503.28,964.00
159860,21.94,26.54,11355.41,964.00
162860,21.93,26.48,18403.73,967.00
165860,21.93,26.37,21079.23,966.00
168860,21.92,26.35,15882.47,966.00
171860,21.91,26.38,10009.14,965.00
174860,21.91,26.48,12164.30,967.00
177860,21.91,26.54,13020.29,966.00
180860,21.91,26.58,27976.73,967.00
183860,21.91,26.62,12906.21,966.00
186860,21.91,26.54,17300.95,967.00
189860,21.90,26.52,21845.60,965.00
192860,21.89,26.54,27943.38,964.00
195860,21.89,26.49,20397.80,968.00
198860,21.88,26.47,17615.32,965.00
201860,21.88,26.49,23900.63,967.00
204860,21.86,26.52,12258.47,966.00
207860,21.86,26.54,14402.02,966.00
210860,21.86,26.59,11276.13,966.00
213860,21.86,26.61,11189.94,967.00
216860,21.86,26.62,10711.34,966.00
219860,21.86,26.61,12977.67,966.00
222860,21.85,26.58,14533.75,966.00
225860,21.85,26.65,12766.31,952.00
228860,21.84,26.66,9756.85,965.00
231860,21.84,26.68,11162.46,965.00
234860,21.84,26.75,16976.48,965.00
237860,21.83,26.71,10989.56,965.00
240860,21.83,26.70,30362.71,965.00
243860,21.82,26.68,14961.08,967.00
246860,21.82,26.68,26174.46,966.00
249860,21.81,26.74,25011.60,968.00
252860,21.81,26.77,32506.96,966.00
255860,21.81,26.78,22697.71,966.00
258860,21.80,26.78,20871.80,966.00
261860,21.80,26.78,22919.69,967.00
264860,21.80,26.77,14585.57,963.00
267860,21.79,26.69,14371.20,963.00
270860,21.78,26.68,28003.62,964.00
273860,21.78,26.69,21693.21,964.00
276860,21.77,26.68,16209.95,965.00
279860,21.76,26.61,14279.46,966.00
282860,21.76,26.61,28975.56,965.00
