Timestamp,Temperature (C),Humidity (%),Sound,Light
3887,21.94,29.70,0.00,24.00
6887,22.24,29.77,16697.77,30.00
9887,22.25,29.77,14629.88,33.00
12887,22.26,29.72,11397.20,25.00
15887,22.27,29.66,20926.53,33.00
18887,22.28,29.62,28008.31,29.00
21887,22.28,29.58,18227.36,28.00
24887,22.29,29.52,30409.03,23.00
27887,22.30,29.54,17082.44,28.00
30887,22.30,29.56,15638.63,28.00
33887,22.30,29.57,27018.69,28.00
36887,22.31,29.58,17993.22,33.00
39887,22.32,29.60,18619.08,38.00
42887,22.33,29.60,16166.71,28.00
45887,22.33,29.56,24236.15,29.00
48887,22.34,29.54,28545.24,29.00
51887,22.35,29.51,19285.29,29.00
54887,22.35,29.49,23184.51,35.00
57887,22.36,29.48,17260.24,29.00
60887,22.36,29.48,13445.32,20.00
63887,22.37,29.47,14111.27,30.00
66887,22.38,29.33,18007.81,25.00
69887,22.37,29.26,11972.17,29.00
72887,22.37,29.29,11397.48,36.00
75887,22.38,29.31,12634.81,27.00
78887,22.38,29.31,14666.51,22.00
81887,22.38,29.29,17890.59,26.00
84887,22.39,29.28,20951.48,31.00
87887,22.40,29.31,24814.16,30.00
90887,22.40,29.33,15187.87,29.00
93887,22.40,29.37,18722.29,28.00
96887,22.40,29.34,18377.26,28.00
99887,22.40,29.31,17353.92,27.00
102887,22.41,29.32,18295.38,29.00
105887,22.42,29.33,26780.90,38.00
108887,22.41,29.34,21176.03,29.00
111887,22.42,29.37,16758.90,29.00
114887,22.43,29.37,16338.77,32.00
117887,22.43,29.38,25361.56,27.00
120887,22.44,29.40,11390.10,31.00
123887,22.44,29.41,11556.47,35.00
126887,22.45,29.40,12449.11,29.00
129887,22.44,29.37,14652.02,29.00
132887,22.45,29.36,11831.19,26.00
135887,22.46,29.35,13163.17,30.00
138887,22.46,29.34,10622.99,30.00
141887,22.46,29.30,12114.69,31.00
144887,22.47,29.10,10854.16,29.00
147887,22.47,29.11,12590.85,31.00
150887,22.47,29.15,14783.99,35.00
153887,22.47,29.18,10546.23,28.00
156887,22.48,29.26,14850.96,31.00
159887,22.48,29.30,10029.95,41.00
162887,22.48,29.30,14510.00,26.00
165887,22.48,29.33,9675.91,36.00
168887,22.48,29.35,16158.94,31.00
171887,22.49,29.35,13247.71,37.00
174887,22.49,29.36,8283.58,31.00
177887,22.49,29.36,10286.13,26.00
180887,22.49,29.28,13246.06,29.00
183887,22.50,29.21,12597.70,31.00
186887,22.50,29.20,9943.32,28.00
189887,22.50,29.19,11883.59,35.00
192887,22.50,29.15,12954.42,34.00
195887,22.51,28.98,13757.04,29.00
198887,22.51,29.01,18161.42,44.00
201887,22.51,29.03,11442.60,53.00
204887,22.51,29.04,14046.08,50.00
207887,22.51,29.04,12817.12,46.00
210887,22.51,29.03,12151.48,56.00
213887,22.51,28.98,9806.99,48.00
216887,22.51,28.93,10472.08,59.00
219887,22.51,28.78,14915.86,49.00
222887,22.51,28.81,11791.80,48.00
225887,22.51,28.86,11376.60,54.00
228887,22.52,28.90,10893.47,50.00
231887,22.52,28.92,8598.01,52.00
234887,22.52,28.95,10882.97,52.00
237887,22.53,28.95,11893.05,51.00
240887,22.53,28.96,10656.41,44.00
243887,22.53,28.98,13263.52,52.00
246887,22.54,29.00,14970.43,53.00
249887,22.54,28.98,16990.12,53.00
252887,22.55,28.98,18076.97,51.00
255887,22.55,28.95,16524.61,54.00
258887,22.55,28.92,13244.69,54.00
261887,22.56,28.92,20384.74,49.00
264887,22.57,28.89,15809.21,55.00
267887,22.57,28.86,17083.39,52.00
270887,22.56,28.81,16679.83,51.00
273887,22.57,28.81,16024.75,50.00
276887,22.57,28.80,12618.17,55.00
279887,22.57,28.65,13599.96,53.00
282887,22.57,28.65,13061.72,47.00
285887,22.57,28.66,24783.54,49.00
288887,22.57,28.58,15257.09,50.00
291887,22.57,28.59,20606.17,52.00
294887,22.57,28.50,24337.35,53.00
297887,22.57,28.27,30322.74,54.00
300887,22.57,28.37,17950.90,51.00
303887,22.57,28.44,19637.93,53.00
306887,22.57,28.49,18497.36,51.00
309887,22.57,28.44,24533.43,52.00
312887,22.57,28.49,15870.37,58.00
315887,22.57,28.53,20461.88,57.00
318887,22.58,28.54,20056.03,52.00
321887,22.58,28.55,16257.99,52.00
324887,22.58,28.41,16734.12,44.00
327887,22.58,28.38,19920.13,54.00
330887,22.58,28.43,14967.75,55.00
333887,22.58,28.48,23049.93,54.00
336887,22.59,28.52,13884.32,54.00
339887,22.59,28.53,11543.42,44.00
342887,22.59,28.55,16337.58,54.00
345887,22.59,28.58,12752.78,51.00
348887,22.59,28.59,15835.83,50.00
351887,22.60,28.63,12107.08,54.00
354887,22.60,28.67,31610.75,52.00
357887,22.60,28.69,10615.23,57.00
360887,22.60,28.73,14677.99,55.00
363887,22.61,28.73,11874.42,53.00
366887,22.60,28.64,9561.87,51.00
369887,22.60,28.62,15538.67,49.00
372887,22.61,28.62,10786.40,51.00
375887,22.61,28.62,17061.05,53.00
378887,22.61,28.61,16710.86,55.00
381887,22.61,28.58,14020.92,49.00
384887,22.62,28.49,18359.99,57.00
387887,22.62,28.49,15719.19,53.00
390887,22.62,28.46,11521.06,60.00
393887,22.62,28.43,11211.00,49.00
396887,22.62,28.44,11142.34,49.00
399887,22.62,28.43,20156.95,50.00
402887,22.62,28.41,9711.29,49.00
405887,22.62,28.40,11916.76,54.00
408887,22.62,28.40,11918.29,52.00
411887,22.62,28.42,9729.94,55.00
414887,22.62,28.45,9838.50,51.00
417887,22.62,28.44,8599.18,51.00
